IUPAC,Galectin-3 (20ug/ml) Slide:13619,Gal-3C (0.5ug/ml) Slide:15163,Gal-3C (2ug/ml) Slide:15156,Gal-3C (5ug/ml) Slide:15161,Gal-3C (20ug/ml) Slide:15157,Gal-3C (50ug/ml) Slide:15162,binding
Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,7.354925,11.73965,27.465775,57.166975,360.90885,543.586475,low
Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp10,8.3213,8.505225,10.811925,20.7145,82.6322,99.098175,low
Gal(b1-3)GlcNAc(b1-Sp0,10.371625,8.022025,6.273375,14.67135,25.028675,15.7432,low
Gal(b1-3)GlcNAc(b1-Sp8,19.5552,8.8666,19.03445,24.45275,21.587075,25.0293,low
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,1.3569,4.812175,13.51435,16.163125,19.14135,18.70125,low
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,7.831075,8.5884,13.965425,22.08,16.086325,24.60035,low
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,11.577975,12.809325,11.51485,12.57195,28.4867,50.8235,low
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,3.603875,37.0061,20.52075,16.936175,23.7229,26.2112,low
Gal(b1-4)(6S)Glc(b1-Sp0,3.3443,11.057175,15.924575,11.3143,11.33705,20.651725,low
Gal(b1-4)(6S)Glc(b1-Sp8,12.674225,12.5113,14.7644,21.36235,16.26435,38.1571,low
Gal(b1-4)GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,27.828075,20.166875,183.100325,492.62585,2073.0297,3494.68525,medium
Gal(b1-4)GalNAc(b1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,5.0624,11.160475,9.751125,27.468225,17.60585,19.631725,low
Gal(b1-4)GlcNAc(b1-3)GalNAc(a1-Sp8,4.417875,22.265975,21.06955,10.6175,29.882525,19.292,low
Gal(b1-4)GlcNAc(b1-3)GalNAc(b1-Sp14,6.313875,21.04265,20.986225,26.483375,22.348575,14.622775,low
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,16.908625,9.1425,18.440025,17.049525,39.911025,43.5579,low
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,35.166875,27.9121,635.84015,1370.5596,6448.185,10090.34925,medium
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,12.897875,26.103475,338.757625,727.00475,2380.681275,6146.23625,medium
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp0,59.4746,10.72365,26.624175,42.865875,383.793,498.333175,low
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp8,3.711425,22.211025,34.53035,66.19605,276.5671,1010.4221,low
